,year,raceId,driverId,constructorId,number,grid,position,positionText,points,laps,time,miliseconds,fastestLap,fastestLapSpeed,statusId,fastestLapTime,round
770,2011,Singapore Grand Prix,webber,red_bull,,2,3,3,15.0,61,+29.279,7176036,54,165.892,Finished,1:50.088,14
771,2011,Singapore Grand Prix,alonso,ferrari,14,5,4,4,12.0,61,+55.449,7202206,58,164.691,Finished,1:50.891,14
772,2011,Singapore Grand Prix,hamilton,mclaren,44,4,5,5,10.0,61,+1:07.766,7214523,54,164.779,Finished,1:50.832,14
773,2011,Singapore Grand Prix,resta,force_india,,10,6,6,8.0,61,+1:51.067,7257824,41,159.864,Finished,1:54.239,14
774,2011,Singapore Grand Prix,rosberg,mercedes,6,7,7,7,6.0,60,,,42,159.663,+1 Lap,1:54.383,14
775,2011,Singapore Grand Prix,sutil,force_india,99,9,8,8,4.0,60,,,45,159.411,+1 Lap,1:54.564,14
776,2011,Singapore Grand Prix,massa,ferrari,19,6,9,9,2.0,60,,,26,162.263,+1 Lap,1:52.550,14
777,2011,Singapore Grand Prix,perez,sauber,11,11,10,10,1.0,60,,,42,159.340,+1 Lap,1:54.615,14
778,2011,Singapore Grand Prix,maldonado,williams,13,13,11,11,0.0,60,,,50,161.335,+1 Lap,1:53.198,14
779,2011,Singapore Grand Prix,buemi,toro_rosso,,14,12,12,0.0,60,,,51,162.774,+1 Lap,1:52.197,14
780,2011,Singapore Grand Prix,barrichello,williams,,12,13,13,0.0,60,,,40,158.483,+1 Lap,1:55.235,14
781,2011,Singapore Grand Prix,kobayashi,sauber,10,17,14,14,0.0,59,,,56,164.043,+2 Laps,1:51.329,14
782,2011,Singapore Grand Prix,bruno_senna,renault,,15,15,15,0.0,59,,,55,160.518,+2 Laps,1:53.774,14
783,2011,Singapore Grand Prix,kovalainen,lotus_racing,,19,16,16,0.0,59,,,56,160.111,+2 Laps,1:54.063,14
784,2011,Singapore Grand Prix,petrov,renault,,18,17,17,0.0,59,,,56,159.913,+2 Laps,1:54.204,14
785,2011,Singapore Grand Prix,ambrosio,virgin,,22,18,18,0.0,59,,,22,153.817,+2 Laps,1:58.730,14
786,2011,Singapore Grand Prix,ricciardo,hrt,3,23,19,19,0.0,57,,,40,153.386,+4 Laps,1:59.064,14
787,2011,Singapore Grand Prix,liuzzi,hrt,,24,20,20,0.0,57,,,41,154.399,+4 Laps,1:58.283,14
788,2011,Singapore Grand Prix,alguersuari,toro_rosso,,16,21,21,0.0,56,,,37,160.656,Accident,1:53.676,14
789,2011,Singapore Grand Prix,trulli,lotus_racing,,20,22,R,0.0,47,,,25,155.924,Gearbox,1:57.126,14
790,2011,Singapore Grand Prix,michael_schumacher,mercedes,,8,23,R,0.0,28,,,26,161.480,Accident,1:53.096,14
791,2011,Singapore Grand Prix,glock,virgin,,21,24,R,0.0,9,,,6,151.669,Accident,2:00.412,14
792,2011,Japanese Grand Prix,button,mclaren,22,2,1,1,25.0,53,1:30:53.427,5453427,52,216.481,Finished,1:36.568,15
793,2011,Japanese Grand Prix,alonso,ferrari,14,5,2,2,18.0,53,+1.160,5454587,50,216.226,Finished,1:36.682,15
794,2011,Japanese Grand Prix,vettel,red_bull,5,1,3,3,15.0,53,+2.006,5455433,52,215.704,Finished,1:36.916,15
795,2011,Japanese Grand Prix,webber,red_bull,,6,4,4,12.0,53,+8.071,5461498,47,215.900,Finished,1:36.828,15
796,2011,Japanese Grand Prix,hamilton,mclaren,44,3,5,5,10.0,53,+24.268,5477695,49,214.093,Finished,1:37.645,15
797,2011,Japanese Grand Prix,michael_schumacher,mercedes,,8,6,6,8.0,53,+27.120,5480547,53,213.501,Finished,1:37.916,15
798,2011,Japanese Grand Prix,massa,ferrari,19,4,7,7,6.0,53,+28.240,5481667,50,213.754,Finished,1:37.800,15
799,2011,Japanese Grand Prix,perez,sauber,11,17,8,8,4.0,53,+39.377,5492804,39,216.479,Finished,1:36.569,15
800,2011,Japanese Grand Prix,petrov,renault,,10,9,9,2.0,53,+42.607,5496034,47,215.399,Finished,1:37.053,15
801,2011,Japanese Grand Prix,rosberg,mercedes,6,23,10,10,1.0,53,+44.322,5497749,50,216.378,Finished,1:36.614,15
802,2011,Japanese Grand Prix,sutil,force_india,99,11,11,11,0.0,53,+54.447,5507874,43,213.029,Finished,1:38.133,15
803,2011,Japanese Grand Prix,resta,force_india,,12,12,12,0.0,53,+1:02.326,5515753,43,213.383,Finished,1:37.970,15
804,2011,Japanese Grand Prix,kobayashi,sauber,10,7,13,13,0.0,53,+1:03.705,5517132,44,209.630,Finished,1:39.724,15
805,2011,Japanese Grand Prix,maldonado,williams,13,14,14,14,0.0,53,+1:04.194,5517621,50,214.093,Finished,1:37.645,15
806,2011,Japanese Grand Prix,alguersuari,toro_rosso,,16,15,15,0.0,53,+1:06.623,5520050,41,214.608,Finished,1:37.411,15
