year,round,raceId,constructorId,statusId,points
2021,11,Hungarian Grand Prix,aston_martin,Disqualified,0.0
2021,11,Hungarian Grand Prix,ferrari,Collision,0.0
2021,11,Hungarian Grand Prix,ferrari,Finished,15.0
2021,11,Hungarian Grand Prix,haas,+1 Lap,0.0
2021,11,Hungarian Grand Prix,haas,Collision,0.0
2021,11,Hungarian Grand Prix,mclaren,+1 Lap,0.0
2021,11,Hungarian Grand Prix,mclaren,Collision,0.0
2021,11,Hungarian Grand Prix,mercedes,Collision,0.0
2021,11,Hungarian Grand Prix,mercedes,Finished,18.0
2021,11,Hungarian Grand Prix,red_bull,Collision,0.0
2021,11,Hungarian Grand Prix,red_bull,Finished,2.0
2021,11,Hungarian Grand Prix,williams,Finished,10.0
2021,12,Belgian Grand Prix,alfa,Finished,0.0
2021,12,Belgian Grand Prix,alphatauri,Finished,4.0
2021,12,Belgian Grand Prix,alpine,Finished,3.0
2021,12,Belgian Grand Prix,aston_martin,Finished,5.0
2021,12,Belgian Grand Prix,ferrari,Finished,2.5
2021,12,Belgian Grand Prix,haas,Finished,0.0
2021,12,Belgian Grand Prix,mclaren,Finished,6.0
2021,12,Belgian Grand Prix,mercedes,Finished,7.5
2021,12,Belgian Grand Prix,red_bull,Finished,12.5
2021,12,Belgian Grand Prix,williams,Finished,10.0
2021,13,Dutch Grand Prix,alfa,+2 Laps,0.0
2021,13,Dutch Grand Prix,alphatauri,+1 Lap,12.0
2021,13,Dutch Grand Prix,alphatauri,Power Unit,0.0
2021,13,Dutch Grand Prix,alpine,+1 Lap,10.0
2021,13,Dutch Grand Prix,aston_martin,+2 Laps,0.0
2021,13,Dutch Grand Prix,ferrari,+1 Lap,16.0
2021,13,Dutch Grand Prix,haas,+3 Laps,0.0
2021,13,Dutch Grand Prix,haas,Hydraulics,0.0
2021,13,Dutch Grand Prix,mclaren,+1 Lap,1.0
2021,13,Dutch Grand Prix,mercedes,Finished,34.0
2021,13,Dutch Grand Prix,red_bull,+1 Lap,4.0
2021,13,Dutch Grand Prix,red_bull,Finished,25.0
2021,13,Dutch Grand Prix,williams,+2 Laps,0.0
2021,13,Dutch Grand Prix,williams,Gearbox,0.0
2021,14,Italian Grand Prix,alfa,Finished,0.0
2021,14,Italian Grand Prix,alphatauri,Brakes,0.0
2021,14,Italian Grand Prix,alphatauri,Suspension,0.0
2021,14,Italian Grand Prix,alpine,Finished,5.0
2021,14,Italian Grand Prix,aston_martin,Finished,6.0
2021,14,Italian Grand Prix,ferrari,Finished,20.0
2021,14,Italian Grand Prix,haas,Finished,0.0
2021,14,Italian Grand Prix,haas,Power Unit,0.0
2021,14,Italian Grand Prix,mclaren,Finished,44.0
2021,14,Italian Grand Prix,mercedes,Collision,0.0
2021,14,Italian Grand Prix,mercedes,Finished,15.0
2021,14,Italian Grand Prix,red_bull,Collision,0.0
2021,14,Italian Grand Prix,red_bull,Finished,10.0
2021,14,Italian Grand Prix,williams,Finished,2.0
2021,15,Russian Grand Prix,alfa,+1 Lap,0.0
2021,15,Russian Grand Prix,alfa,Finished,4.0
2021,15,Russian Grand Prix,alphatauri,+1 Lap,0.0
2021,15,Russian Grand Prix,alpine,+1 Lap,0.0
2021,15,Russian Grand Prix,alpine,Finished,8.0
2021,15,Russian Grand Prix,aston_martin,+1 Lap,0.0
2021,15,Russian Grand Prix,aston_martin,Finished,0.0
2021,15,Russian Grand Prix,ferrari,+1 Lap,0.0
2021,15,Russian Grand Prix,ferrari,Finished,15.0
2021,15,Russian Grand Prix,haas,+2 Laps,0.0
2021,15,Russian Grand Prix,haas,Oil leak,0.0
2021,15,Russian Grand Prix,mclaren,Finished,19.0
2021,15,Russian Grand Prix,mercedes,Finished,35.0
2021,15,Russian Grand Prix,red_bull,Finished,20.0
2021,15,Russian Grand Prix,williams,Accident,0.0
2021,15,Russian Grand Prix,williams,Finished,1.0
2021,16,Turkish Grand Prix,alfa,+1 Lap,0.0
2021,16,Turkish Grand Prix,alphatauri,+1 Lap,0.0
2021,16,Turkish Grand Prix,alphatauri,Finished,8.0
2021,16,Turkish Grand Prix,alpine,+1 Lap,1.0
2021,16,Turkish Grand Prix,aston_martin,+1 Lap,0.0
2021,16,Turkish Grand Prix,aston_martin,Finished,2.0
2021,16,Turkish Grand Prix,ferrari,Finished,16.0
2021,16,Turkish Grand Prix,haas,+2 Laps,0.0
2021,16,Turkish Grand Prix,mclaren,+1 Lap,0.0
2021,16,Turkish Grand Prix,mclaren,Finished,6.0
2021,16,Turkish Grand Prix,mercedes,Finished,36.0
2021,16,Turkish Grand Prix,red_bull,Finished,33.0
2021,16,Turkish Grand Prix,williams,+1 Lap,0.0
2021,17,United States Grand Prix,alfa,+1 Lap,0.0
2021,17,United States Grand Prix,alphatauri,+1 Lap,2.0
2021,17,United States Grand Prix,alphatauri,Suspension,0.0
2021,17,United States Grand Prix,alpine,Mechanical,0.0
2021,17,United States Grand Prix,alpine,Rear wing,0.0
2021,17,United States Grand Prix,aston_martin,+1 Lap,1.0
2021,17,United States Grand Prix,ferrari,Finished,18.0
2021,17,United States Grand Prix,haas,+2 Laps,0.0
2021,17,United States Grand Prix,mclaren,Finished,14.0
2021,17,United States Grand Prix,mercedes,Finished,27.0
2021,17,United States Grand Prix,red_bull,Finished,40.0
2021,17,United States Grand Prix,williams,+1 Lap,0.0
2021,18,Mexico City Grand Prix,alfa,+1 Lap,4.0
2021,18,Mexico City Grand Prix,alphatauri,Collision,0.0
2021,18,Mexico City Grand Prix,alphatauri,Finished,12.0
